标题,作者,图书简介,链接 
"Can I Play Too? (Elephant & Piggy, #12)",Mo Willems,"Gerald is careful. Piggie is not. Piggie cannot help smiling. Gerald can. 
Gerald and Piggie are best friends. 
 
In  Can I Play Too?  Gerald and Piggie meet a new snake friend who wants to join in a game of catch. But don't you need arms to catch? 
 
Mo Willems’ Geisel Award-winning duo never fails to tickle readers of all ages. Like previous Elephant & Piggie Books, this adventure has been vetted by an early learning specialist and emerging learners themselves. It turns reading into play!",https://www.xiaohuasheng.cn/book/ebabfb565ea7e362
可爱的农场动物,童趣出版有限公司 译,卡由去菲利克斯叔叔的农场，想找表姐阿曼达玩，她不在鸡舍，不在猪圈，不在羊圈，不在马厩……卡由把农场找遍了，也没找到，你能帮卡由找找吗？卡由在寻找表姐的过程中认识了很多有趣的农场动物，学到了很多动物知识，你呢？,https://www.xiaohuasheng.cn/book/6e4d9c1d2f8b7d2a
魔法师杜噜嘟嘟全4册,"（法） 埃尔维·杜莱 著；（法） 埃尔维·杜莱 绘；青豆童书馆,赵佼佼 译,青豆童书馆,赵佼佼 译（译）","魔法师《杜噜嘟嘟》套书由《神奇的故事又来了！》、《太神奇啦！》、《无敌大冒险》、《我来给你讲一个故事！》、四本精装书组成。
书中的主人公杜噜嘟嘟头戴金冠，来自一个遥远的、神奇的地方，他会变很多好玩的魔法，会带小朋友去大冒险，去做各种好玩的事情……
杜莱不愧是金牌童书大师，这套魔法师《杜噜嘟嘟》系列风格稚拙有趣，想象力超前，个人风格前卫鲜明，在法国刚一出版就引来家长和孩子们的热捧，伴随着全球各语种的陆续出版，全世界的孩子们正在集结成一个超强的“杜噜嘟嘟”粉丝军团！",https://www.xiaohuasheng.cn/book/498392aed8f16a0d
鸭子? 兔子?,（美） 艾米·克劳斯·罗森塔尔 著；（美） 汤姆·利希藤黑尔德 绘；漪然 译,一个看上去既像鸭子又像兔子的形象，引起了两个小孩的激烈争论。一个确定那是鸭子，一个肯定那是兔子。在不断变换的场景中，他们都有充分的理由。到底谁对谁错？争论为何不断升级，又为何戛然而止？就在争论看似已经平息的时候，突然又出现了一个既像食蚁兽又像恐龙的形象。是否又会有一场新的争论？,https://www.xiaohuasheng.cn/book/e2c82a629dbdc7
"I Will Take a Nap! (Elephant & Piggy, #23)",Mo Willems,Gerald is careful. Piggie is not. Piggie cannot help smiling. Gerald can. Gerald worries so that Piggie does not have to. Gerald and Piggie are best friends. In I Will Take a Nap! Gerald is tired and cranky. Will Piggie be in his dreams? Or will she keep Gerald from dreaming at all?,https://www.xiaohuasheng.cn/book/8a2c0a4c2f8a8ab9
"走开, 绿色大怪物!",〔美〕爱德华·恩贝尔利 著；余治莹 译,这是一本非常有创意的玩具书。作者设计了一种巧妙的方式，让小朋友可以赶走恶梦中的怪物。打开每一页，绿色大怪物都会有一个与形状和色彩有关的变化：黄色大眼睛、绿色鼻子、血盆大口、鲨鱼般的牙齿。巨大的绿色怪物就这样出现了，然后又走开，给小读者带来一次视觉上的奇妙之旅。,https://www.xiaohuasheng.cn/book/1f35761b4c4c61e8
噼里啪啦系列: 我要拉㞎㞎,（日） 佐佐木洋子 绘,"宝宝，你会独自上厕所么？
拉巴巴要去厕所，
进厕所前要先敲门，
上完厕所要记得洗手，
最后, 别忘了把小裤裤穿上.",https://www.xiaohuasheng.cn/book/1aece60b82b44480
偷偷看里面: 动物的家,"(英)安娜·米尔波恩, (Ying)An Na·Mi Er Bo En (Editor)",动物园有海豹、大象、长颈鹿、猴子……小手翻一翻，还有哪些可爱的动物呢？动物的家各种各样：马厩、鸟窝、蜂巢、蚁穴。小手翻一翻，其他动物住在哪里呢？该系列引进自英国usborne出版社，是看里面系列的最新产品。洞洞 翻翻书的形式趣味十足，动物、自然的主题十分贴近生活，色彩鲜艳、充满美感，语言朗朗上口。书中巧妙地设计了许多问题，激发孩子的阅读兴趣，同时兼具启蒙认知功能。,https://www.xiaohuasheng.cn/book/f2e42946a586c588
"脸, 脸, 各种各样的脸",柳原良平;小林;小熊,婴儿从2-3个月大就开始喜欢看人脸图案，到了9个月大，婴儿的社会交往和社会情绪也开始发展，《脸，脸，什么样的脸》这本书稿能够给婴儿带来阅读的乐趣，同时也有利于帮助婴儿识别各种脸部的情绪变化，促进其社会交往技能的发展。这本书稿是畅销长销日本20多年的婴儿图画书。适读年龄4个月-1岁半,https://www.xiaohuasheng.cn/book/f0bdd2d0490cb98f
小蚂蚁怕烫,（日）土桥年子编绘,无简介,https://www.xiaohuasheng.cn/book/72d8155fc2ef151a
可爱的鼠小弟06: 又来了! 鼠小弟的小背心,"（日） 中江嘉男 著；（日） 上野纪子 绘；赵静,文纪子 译",《爱心树绘本馆·可爱的鼠小弟:又来了!鼠小弟的小背心》内容简介：“我再也不将小背心借给别人了！”鼠小弟下了大决心，但是看到小蛇被拒绝后伤心的样子，鼠小弟心软了。结果小蛇穿上，不好看，大哭着走了。接着，鸭子、狮子……一个接一个地登场。它的背心被拉得越来越长。鼠小妹登场了，她给鼠小弟重织了一顶帽子。帽子的话，谁过来试试戴也不要紧，鼠小弟的神态又放心又得意，而且动物越大戴着越不好看，鼠小弟得意的神态也越明显。结尾，小蛇又出来了。鼠小弟好心地让小蛇戴帽子，没想到小蛇把帽子看做背心来穿，开心地唱着歌走了。在边幕，鼠小弟挨鼠小妹的骂，一边害羞得搔头，一边摇头。,https://www.xiaohuasheng.cn/book/4abb2ee2067cad40
洗泡泡澡,（日）滨田洋子编绘,无简介,https://www.xiaohuasheng.cn/book/17b5509284e9aa2d
大房子,（日） 青山邦彦 著；娜研 译,"《大房子》是日本著名绘本大师青山邦彦的代表作之一。故事围绕一座古老而美丽的大房子展开，通过对大房子的装修设计、内在陈设以及外部环境变化的描摹，用拟人化的手法，讲述了大房子从贵族宅邸到酒店、餐厅、购物中心等商业休闲的功用，到流浪儿童之家的身份变迁及其心理变化过程，真实反映了大房子从渴求被理解、寻找认同的迷茫到浴火重生、重塑自我的心路历程，委婉而又巧妙地表达出真正的生命价值与意义的主题。
该书于细微处见真章，展现了对建筑和景物从未有过的细腻丰富的细节：穹顶回廊、雕花扶梯、人物壁画、欧式壁炉……完美还原了十八世纪欧洲建筑的本来面貌，被誉为“景观艺术绘本的里程碑之作”“心灵花园的惊喜发现之旅”。",https://www.xiaohuasheng.cn/book/6c6b8660a3adaf20
麦田绘本馆·我也行呀!,（韩） 崔琡僖 著；麦田文化 译,"《麦田绘本馆:我也行呀!》内容简介：斑马跑起来，呱嗒呱嗒。小女孩说：“我也行呀！你看，哒哒哒。”云雀唱起歌来，唧唧唧。小女孩说：“我也行呀！你看，啦啦啦。”《麦田绘本馆:我也行呀!》以生动活泼的方式，将各种小动物的特色一一呈现出来，搭配小主人公的有趣回应，告诉了小朋友只要不服输、肯努力，任何事都难不倒你。
延伸功能：激励效应——书名“我也行呀！”本身便阐释了一个中心主题：家长通过亲子共读，可以给孩子传达一种鼓励与宽容，对他们的努力予以支持并适度褒奖，树立他们的自信与自立精神。",https://www.xiaohuasheng.cn/book/c887f01672d24120
0-4岁幼儿猜猜翻翻书: 粉红巴士出发了,佐佐木美央 著；冬野一子 绘；安可 译,适合与0-4岁幼儿共读的日本低幼绘本，通过53处创意模切和拉页，为孩子开启一场场探索之旅。本书以丰富的场景变换培养孩子的观察力，用幽默趣味的情节为孩子营造想象空间。 同时，不断重复而有韵律的语言，符合婴幼儿期孩子的思维认知特点；贴近生活的故事中，蕴含着启蒙认知、习惯养成和人际交往的主题，让孩子边玩边学。,https://www.xiaohuasheng.cn/book/8fb63b02f3bd6a12
奇妙洞洞书系列: 马戏团,Emanuela Bussolati,《奇妙洞洞书系列(第1辑):马戏团》主要讲述了，细心的妈妈有没有发现，在一个阶段，宝宝喜欢用小手指抠东西、戳洞洞，这说明宝宝到了精细小动作发展的关键期。本洞洞书专为此而设计，书中根据马戏团的各种精彩节目来结构故事，在快乐的游戏中融入了对色彩的认知，尤其是创意奇妙的各种洞洞，不但能让宝宝将手指锻炼得灵活有力，还会激发浓浓的学习兴趣！,https://www.xiaohuasheng.cn/book/76cc3409a161affb
小玻系列翻翻书: 小玻去农场,（英） 艾力克·希尔 著；彭懿 译,《小玻去农场》爸爸想带小玻到农场里看动物宝宝。一路上，小玻自己却从稻草堆下、矮树丛旁听到了好多声音，看到了好多动物，发现了好多好玩的东西！,https://www.xiaohuasheng.cn/book/4f4a5e8d64f59930
大卫上学去,文/图：（美）大卫·香农：翻译：余治莹,"《大卫上学去》一书主要描述了大卫在学校学习规矩的状况。与《大卫，不可以》最大的不同是，在前一本书里，大卫唯我独尊、一个人胡闹；而在后一本书里，大卫的身边有了其他的小朋友，他必须得学会与别人相处，并且尊重学校里的规矩。
美国凯迪克银牌奖得主大卫·香农生于美国华盛顿，毕业于加州的艺术中心设计学院，之后到纽约发展，他为《纽约时报》、《时报杂志》和《滚石杂志》都画过插图，也曾设计过书籍封面。1989年，香农开始创作儿童图画书，他的作品屡屡得奖，其中《大卫，不可以！》夺得了1989凯迪克银牌奖、美国图书馆协会好书奖及《纽约时报》最佳图匦书奖。另一部作品《下雨了》得到了2001年的金风筝奖。",https://www.xiaohuasheng.cn/book/84a47e7a3700d80c
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr, Eric Carle","A gentle rhyming delight in a storytime classic. 
Exuberantly coloured artwork and favourite animals make this rhythmic story the perfect introduction to looking and learning about colours. Each spread leads seamlessly into the next and young children will delight in Eric's colourful collage of animals and simple repetitive language.
这本书的语言无以伦比，简单、重复、富有节奏感，全世界的小宝贝们似乎都在读。",https://www.xiaohuasheng.cn/book/29273e8bb3e8d5a4
我的第一本观察力训练书: 布谷鸟找不到你了 [0-6岁],（美） 洛里安纳·西奥梅德斯 著；娟子 译,蜜蜂找不到他的钥匙了。你能帮他找到钥匙吗？仔细看看。大熊也需要你的帮助，他找不到他的梨子了。认真《我的第一本观察力训练书：布谷鸟找不到你了》，每一页上都有东西需要你去找。,https://www.xiaohuasheng.cn/book/f47e48a3d2387d11
小熊很忙: 快乐的假期,（英） 本吉·戴维斯 著；张昭，喻之晓 译,英国的Bizzy Bear——小熊很忙系列畅销全球500多万册，在台湾书店一直占据着儿童排行榜单，读者全五星评论！ 这套书是厚纸板游戏书，每本有不同的主题——海上冒险、太空遨游、参观恐龙园......不同的故事配上不同的互动操作页，宝宝的小手推一推、拉一拉、转一转、滑一滑就能看到意想不到的惊喜，既锻炼了小手的灵活性，又鼓励宝宝主动探索，这就是蕞好的早教。文字也是本书的一大特色，在亲子阅读的时候，可以哼唱朗朗上口的中英歌谣，是孩子蕞初的英语启蒙利器。英国上市一个月就冲进了低幼书的前十名，好评如潮！ 1~3岁的孩子自主能力增强，从认物的阶段发展到理解情节简单的故事。游戏书可以让阅读充满了惊喜和乐趣，让孩子从“玩”中去探索世界。 在《快乐的假期》这一册中，忙碌的小熊要去度假啦，他都要搭乘多少种交通工具呢？跟随小熊匆忙的脚步，转动转盘，哇，堵车了，千万别误了火车哦。通过抽拉页，看看火车跑得有多快吧！蕞后我们来到了海边，沙滩日光浴，乘坐小帆船，小熊的假期真有趣啊！当孩子自己动手发现无限惊喜的时候，会深深爱上这套书，动脑又动手，激发宝宝主动探索，小脑袋越玩越聪明！,https://www.xiaohuasheng.cn/book/fe6940ebd2d3d324
小玻系列翻翻书: 小玻过生日,（英） 艾力克·希尔 著；彭懿 译,《小玻过生日》让幼儿体会到友谊的可贵，只要和好朋友在一起，就是欢乐时光。生日派对上大家玩捉迷藏游戏，小玻要把大家找出来。但每个小动物朋友躲藏的方式都很有趣！本书还可以让小朋友学会利用线索进行推理思考！,https://www.xiaohuasheng.cn/book/83020605357ad982
小猪林朵,无作者,无简介,https://www.xiaohuasheng.cn/book/13a67318cec5dfc1
超萌花样折页翻翻书:我的朋友在哪里,（日） 古川正和 著；（日） 本信公久 绘；荣信文化 译,《超萌花样折页翻翻书:我的朋友在哪里(上册)》内容简介：小鸭子要去探望动物朋友，可是它们都藏起来了。兔子、孔雀、大猩猩、河马、狮子……都藏在哪里呢？翻开《超萌花样折页翻翻书:我的朋友在哪里(上册)》里的花样折页，兔子会跳出来，大猩猩会捶胸，河马会张开大嘴……宝宝不但能认识各种有趣的动物，锻炼动手能力，还能学到很多英语单词呢！,https://www.xiaohuasheng.cn/book/3e60bf41874ddcc0
亲爱的动物园,（英） 罗德·坎贝尔 著；李树 译,小孩想养宠物了，热心的动物园寄来各式各样的动物，桀骜的骆驼、吓人的狮子、恐怖的蛇、调皮的猴子……最终他会选择什么动物当宠物呢？栩栩如生的动物、浅显易懂的文字、诙谐有趣的内容，翻开书就彷佛置身可爱的动物王国。适合一岁左右的宝宝，里面的每一个动物都需要宝宝手动打开才能看到，锻炼宝宝的手指精细运动，字很少，适合大人发挥想象力给宝宝亲子阅读。,https://www.xiaohuasheng.cn/book/77cb2817bf8c61e8
曹冲称象,杨永青 绘,《大师中国绘:曹冲称象》根据中国著名历史故事改编而成。讲述了聪明的小曹冲想出办法，既不伤害大象，又巧妙地测量出了大象的重量的故事。《大师中国绘:曹冲称象》装帧美观，图画精美，文字浅显易懂，非常适合作为孩子的启蒙读物。,https://www.xiaohuasheng.cn/book/9442444c010829af
晚安.宝贝!,（意） G.曼泰加扎 著；（意） G.奥雷基亚 绘；方素珍 译,"《奇妙洞洞书系列(第2辑):晚安,宝贝!》是奇妙洞洞书系列之一，细心的妈妈有没有发现，在一个阶段，宝宝喜欢用小手指抠东西、戳洞洞，这说明宝宝到了精细小动作发展的关键期。本洞洞书专为此而设计，书中根据各种小动物们的生活习性来结构故事，在快乐的游戏中融入了对动物习性的认知，尤其是创意奇妙的各种洞洞，不但能让宝宝将手指锻炼得灵活有力，还能激发他们浓浓的学习兴趣！",https://www.xiaohuasheng.cn/book/870d78083505a385
0～4岁幼儿认知小百科2,"（ 日 ） 吉田纯子/绘,徐超（译）",无简介,https://www.xiaohuasheng.cn/book/6d45abfef79a2ed8
小熊宝宝绘本(全15册),（日） 佐佐木洋子 文／图；蒲蒲兰 译,如果你正在为家里蹒跚学步、咿呀学语的小宝宝找书，那《小熊宝宝》可是千万不能错过的。这套绘本很棒，画风纯真，故事跟小宝宝的生活息息相关，非常可爱。画风柔和，文字简单，押韵，朗朗上口，很适合小宝宝们阅读。,https://www.xiaohuasheng.cn/book/32c8e1956490e9a8
迟到大王,（英） 约翰·柏林罕 著；党英台 译,约翰派克罗门麦肯席每天都迟到，因为他在上学的路上总是遇到奇怪的事情：遇到鳄鱼咬他的书包，狮子咬破他的裤子，小河里的巨浪将他冲走……老师却认为他在说谎，气得暴跳如雷！罚他写几百遍的“我不可以说有xxx的谎，也不可以xxx”。直到有一天，老师自己也遭遇到不可思议的事……最后老师遇到了一个大猩猩，约翰派克罗门麦肯席说这附近哪有猩猩啊？最后约翰派克罗门麦肯席走路去上学。,https://www.xiaohuasheng.cn/book/5fa81e93eba4f302
太阳公公笑哈哈,（日） 前川一夫 著；猿渡静子 译,太阳公公笑哈哈，大树爷爷笑哈哈，小鸟笑哈哈……刚睡醒的小宝宝，因为没看见妈妈，皱着眉头不高兴。妈妈来了，小宝宝立刻和妈妈一起笑哈哈。 简洁的文字、温暖明亮的色彩、一张张灿烂的笑脸，构成了一个欢快和谐的世界。在孩子的人生之初，哈哈大笑代表着快乐和满足，代表着健康的成长和美好的生活。让这本可爱的绘本，给孩子们带来由衷的快乐吧！,https://www.xiaohuasheng.cn/book/20b71414b4c6462a
可爱动物操,方素珍 著；郝洛玟 绘,《可爱动物操》内容简介：幼儿向来喜欢跟着音乐节奏念唱，摆动身体。书中分别从身体动作、感官认知、语言、社会行为、情绪这五个方面来全面培养幼儿，《可爱动物操》涉及到各种动物的不同动作，还有很多有创意的集体游戏。孩子可以在父母或老师的带领下模仿动物的动作、学唱不同的儿歌，这不但有助于幼儿体质的提高，更能锻炼他们的思考力、判断力与记忆力。是一本兼顾知识性、趣味性和启发性的好书。,https://www.xiaohuasheng.cn/book/a76f92cbb1751a31
小鸡球球成长绘本系列: 小鸡球球帮妈妈做事,[日]入山 智 著·绘，崔维燕 译,小鸡球球就是一个小小孩，小鸡球球的故事只是一个小小孩再“简单”不过的生活。对孩子来说，一句简单的“谢谢啦！”、第一次帮妈妈做事、找不到妈妈以后忍着眼泪的努力寻找，都绝对意义非凡。当孩子开始表达、想要树立独立的自我，尝试处理自己和他人的关系，遇到困难想哭的时候知道要先自己找方向，这些成长中的每一小步，难道不应该珍视吗？ 成长中的故事，看动画电影一般的阅读方式，和爸爸妈妈一起用手指翻动小机关、温情共读，看小鸡球球如何打动孩子的心。 “小鸡球球成长绘本系列”共有6,https://www.xiaohuasheng.cn/book/c1b8fa6f233d749a
鲁拉鲁先生: 鲁拉鲁先生请客,伊东宽,"《鲁拉鲁先生请客》内容简介：完美的计划被打乱了，不见得是一件坏事。顺应当时心境的自发行为，常常带来新鲜的体验。鲁拉鲁先生一贯严格按照学过的步骤做菜，他相信这样做出菜才好吃。他那群不懂烹饪艺术的朋友却让鲁拉鲁先生发现，“大家一起热热闹闹地吃着，不管吃什么，怎么吃都非常得香。”他“从来没有这样享受过！”成人眼中一件严肃复杂的事，孩子会从本能出发，享用其单纯有趣的一面。
于是，鲁拉鲁先生顺着自己的心意，也加入抢东西吃的行列，完全融入现场的气氛，“感觉特别痛快”，这是他天性中孩子气的自然流露和释放。貌似古板的外表下，深藏着未泯的童心，把鲁拉鲁先生和他的小动物朋友们连结在一起，带着他偶尔走出固定的轨道，感受单纯的快乐。",https://www.xiaohuasheng.cn/book/4403c41c4d27e5d5
可爱的鼠小弟02: 想吃苹果的鼠小弟,（日） 中江嘉男 编；（日） 上野纪子 绘；赵静，文纪子 译,《爱心树绘本馆·可爱的鼠小弟:想吃苹果的鼠小弟》内容简介：高高的树上长着可爱的红苹果。鼠小弟好想吃。要是像鸟儿一样能飞，像猴子一样会爬树，像大象一样有长长的鼻子，像……多好啊，看到其他的动物一个个使出自己的本领摘走苹果，鼠小弟羡慕地想。它学着袋鼠的样子跳，可是跳不高，学着犀牛的样子去撞树，结果碰了个鼻青脸肿。海狮虽然也没有其他动物那样的本领，可是，当它用顶球的绝活把鼠小弟抛到树上时，两个人就合作摘到了苹果。故事的结果是出人意料的，又是令人愉快的。,https://www.xiaohuasheng.cn/book/7281f6953a040fa5
小汽车嘀嘀嘀,[日] 冬野一子 著，晓 译,"重点推荐语
最新低幼认知卡纸系列——
通过声音认识交通工具
可爱的拟人形象，让宝宝爱上“车”！
编辑推荐
◎	在生活场景中通过声音认识、分辨交通工具，轻松记忆
◎	拼贴创作技法，拟人化动物和车辆形象，平易近人
◎	故事串联认知概念，趣味丛生
◎	高品质卡纸印刷，圆角处理，安全放心
内容简介
小老鼠开着一辆红色的小汽车上了路，后座上还载着一个大包袱。“嘀嘀嘀——”小汽车一路向前，超过了运苹果的卡车、送邮件的摩托车、警车，还有救护车。经过一条弯弯曲曲的小路后，迎面遇到了一辆坐满小动物的大巴。小汽车为大巴让了路，大巴上的动物们向它致谢。最后，小汽车终于到达了一幢房子前。原来，小老鼠是来找它的好朋友呢！它们各自开着车，去树林里野餐了。红色小汽车上载的包袱，正是野餐的食物。",https://www.xiaohuasheng.cn/book/75ce3e8c47626087
小羊和蝴蝶,艾诺·桑卡德 著；卡尔 绘；蒋家语 译,"小羊遇到了蝴蝶, 小羊一直希望蝴蝶能留下来陪他，但蝴蝶喜欢海阔天空地飞呀飞……小羊和蝴蝶最后会在一起吗?本书借由小羊和蝴蝶的互动，呈现两种截然不同的生活模式：小羊群居，蝴蝶单飞以及两者相遇所产生的趣味对话，让孩子了解包容和尊重的道理，要学会去接纳与包容不同的声音，让不同的乐器，共同合奏出动人的乐章。",https://www.xiaohuasheng.cn/book/1172f1ca7d533b55
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle","A rhythmic text and bold collage illustrations combine to introduce children to a variety of animals and colors in this classic book for the very young. The chant-like text (""Brown Bear, Brown Bear, what do you see? I see a red bird looking at me. Red, Red Bird, what do you see? I see a yellow duck looking at me,"" and so on) practically begs to be read aloud while the lovely illustrations promote close observation with their bright colors and interesting textures. A staple in both the preschool classroom and the toddler's home library, BROWN BEAR, BROWN BEAR, WHAT DO YOU SEE? is the first book in a series which also includes POLAR BEAR, POLAR BEAR, WHAT DO YOU HEAR? and PANDA BEAR, PANDA BEAR, WHAT DO YOU SEE?",https://www.xiaohuasheng.cn/book/b9ffc8fc2f5808d5
小猪威比情绪绘本,英国BBC 著；黄耀华 编；米克·英克潘（Mick Inkpen） 绘,小猪威比系列丛书，通过将0-3岁的基本认知知识、情绪心理融合进小猪威比的一些经历。在生动活泼的情境中，自然而然的感知。你仅仅让孩子学到知识，更重要的是为孩子打开一扇想象思维的门和一扇兴趣的窗。让孩子有兴趣探索生活中的知识，同时也充分保护了孩子的原始的丰富想象空间。,https://www.xiaohuasheng.cn/book/f55b1d9eab2bda3d
小猫当当(第二辑),（日）清野幸子 文·图 著,早期阅读对孩子的成长起着关键性作用，不仅关系到孩子的智力发育，还关系到孩子的品格和言行。“小猫当当”系列是一套适合1-3岁孩子阅读的绘本，日本系列销量超过2500万册、是日本最受欢迎的幼儿读物。这套书活泼有趣，画面简洁生动，非常符合幼儿的认知习惯，不仅能大大锻炼孩子的语言能力，还把一些简单的道理恰当地融入故事当中，让孩子在阅读中养成正确的习惯、良好的性格、优秀的素养！,https://www.xiaohuasheng.cn/book/3f1b5dff4d5ba1d7
I am a Puppy,OLE RISOM 著,"This tall board book, in the tradition of I am a Bunny and The Rooster Struts, is back in print with adorable new illustrations!

The classic board book I am a Puppy is back--fully reillustrated and ready to be embraced by a new generation of children. Join Bruno, an adventurous puppy, as he plays with friends, leaps in the snow, takes a bath, and more! With simple text and adorable illustrations, this is perfect for toddlers.

Also available:
I am a Bunny
I am a Puppy
The Rooster Struts",https://www.xiaohuasheng.cn/book/984544a7831777f
鸡妈妈的蛋宝宝,车丽娇 绘,鸡妈妈经过21天的努力，马上就要孵出鸡宝宝了，可就在这时，鸡妈妈发现心爱的蛋宝宝竟然少了一个。这可急坏了鸡妈妈。鸡妈妈赶紧去找她的邻居们和朋友们帮忙，她问了鸭妈妈、兔子妹妹、山羊爷爷、奶牛阿姨、猪哥哥……幸好得到了嗅觉灵敏的狗小弟的帮忙，找到了第五个蛋宝宝，蛋宝宝变成了五个可爱的鸡宝宝，鸡妈妈和宝宝们一起开心地唱起了歌。,https://www.xiaohuasheng.cn/book/f9bc6b8ddfa33ce5
月亮的味道,麦克格雷涅茨 著,《月亮的味道》：月亮，是什么味道呢？真想尝一小口啊！夜里，动物们望着月亮，总是这么想。可是呢，不管怎么伸长了脖子，伸长了手，伸长了腿，也够不着月亮。 有一天，一只小海龟决心去摸一摸月亮。可他够不着。海龟叫来了大象，大象叫来了长颈鹿，然后长颈鹿叫来了斑马，斑马叫来了狮子，狮子叫来了狐狸，狐狸叫来了猴子，猴子叫来了老鼠。月亮每次都伸高一点儿，让他们够不着。 不过，这次月亮看着老鼠心想：“这么个小不点儿，肯定捉不到我的。”这回它没有动。想不到，“咔嚓！” 老鼠咬下一片月亮。它给动物们都分了一口月亮，大家都觉得，月亮和它们自己喜欢吃的东西是一样的味道。,https://www.xiaohuasheng.cn/book/e799bfa1a1f59f5d
DK幼儿百科全书·第一套头脑体操书:玩具,（英） 西里特 著；刘嘉 译,《DK幼儿百科全书•第1套头脑体操书:玩具》内容简介：是看图画吗？不！是对孩子色彩视觉得激发，和空间想象的启迪！童趣盎然的精美图片像充满视觉冲击力的感官盛宴，一生的艺术感知从此开始！是找东西吗？不！是锻炼孩子的记忆力、分类能力和逻辑思维能力！让孩子由图及字学会词汇，通过观察归纳，左右脑并用提升智力！是玩游戏吗？不！是寓教于乐，在互动游戏中寻找快乐，在快乐游戏中提升综合能力！通过破解一个个难题之后，孩子也会变得跟家有耐心！,https://www.xiaohuasheng.cn/book/1399d2025ca441ff
开车出发系列一: 坐巴士出去玩,"间濑直方,彭懿,周龙梅（译）","坐上车，然后大喊一声：“出发喽!”这是一个小朋友永远不会厌倦的时刻!
     因为出发之后，就可以安心地坐在车里，和家人一起在移动的状态中享受车内和车外的风景。这套书就这样带着一车车的人，到了山问、原野、花田，过铁桥、看大海。
     书里的插图细腻精美，细致到我们可以一一述说人们都在做什么。文字简单而富有旋律。极简短的文字只为引导读者自行分辨书中角色和情境。
坐车旅行是一种风景和记忆，亲子阅读也是一种旅行和风景，只要和家人在一起，就会感觉幸福无比。这样的记忆、想念与期待，才是永远有魅力的旅行。
     这是一套交通工具大集合的书。天上飞的飞机、飞艇，地上走的火车、公共汽车、消防车、摩托车，水里游的大轮船、小橡皮艇，大大小小的交通工具都有出现，男孩子一定会喜欢!
     这是一套美丽的自然风景书。超级清新的画风，色彩柔和而绚丽，带给我们扑面而来的清新。动物形象也圆乎乎的，特别可爱，女孩子也一定会喜欢!
     这还是一套有趣的亲子共读书。细致的图画，有好多的小细节可以让孩子仔细看，让爸妈慢慢讲。
     这是一套别出心裁的游戏书。每本书都有不同的工艺设计，让小朋友们惊喜不已。而且在每本书里都可以找到别的故事里出现过的交通工具!喜欢找一找的小朋友，别忘了睁大眼睛瞧一瞧喔!",https://www.xiaohuasheng.cn/book/2fbc2e190de1b3a5
母鸡萝丝去散步,（美） 佩特·哈群斯 著,"《信谊世界精选图画书:母鸡萝丝去散步》内容简介：这天，母鸡萝丝走出鸡舍去散步。它没有发现，一只狐狸从后面悄悄跟了上来。萝丝穿过农家院子，身后的狐狸扑了上来。可它一脚踩到了钉耙，钉耙一个反弹，狠狠地打到了它的脸上。
萝丝绕过池塘，狐狸扑了上来，可它扑了一个空，栽到了池塘里。
萝丝翻过干草垛，狐狸扑了上来，可它一头扎了进去。
萝丝经过磨面房时脚钩住了一根线，狐狸扑上来时，上头的一袋面粉正好浇了下来。
萝丝钻过栅栏，狐狸扑了上来，可它跌到了栅栏这边的手推车里。
萝丝从蜂箱下面走了过去，可那辆手推车载着狐狸撞翻了蜂箱，狐狸被蜜蜂追得抱头鼠窜。
萝丝回到鸡舍，正好赶上吃晚饭。",https://www.xiaohuasheng.cn/book/63505a1df3e94f18
