基本信息,现价,原价,时间,里程,年份,排量
大众POLO 2018款 1.5L 自动安驾型,8.30万,9.76万,2019年,3.0万公里,2018款,1.5L
奥迪A6L 2014款 TFSI 标准型,20.68万,44.48万,2014年,15.6万公里,2014款,2.0T
日产 天籁 2013款 2.0L XL舒适版,10.80万,20.17万,2015年,9.1万公里,2013款,2.0L
别克 凯越 2018款 15N CVT精英型,6.38万,10.19万,2019年,2.4万公里,2018款,1.3L
福特 翼搏 2013款 1.5L 自动尊贵型,5.88万,13.87万,2015年,8.6万公里,2013款,1.5L
哈弗H6 2016款 升级版 1.5T 手动两驱精英型,5.98万,11.05万,2017年,3.4万公里,2016款,1.5T
现代 悦动 2008款 1.6L AT GL,2.68万,11.81万,2009年,11.0万公里,2008款,1.6L
Jeep 指南者 2013款 2.4L 四驱豪华版(进口),6.96万,28.97万,2013年,12.5万公里,2013款,2.4L
别克 君越 2012款 2.4L SIDI豪华版,7.38万,29.95万,2012年,8.5万公里,2012款,2.4L
奔驰GLA级 2016款 GLA 220 4MATIC 时尚型,18.78万,34.71万,2016年,2.3万公里,2016款,2.0T
雪佛兰 科鲁兹 2013款 1.6L SE AT,4.68万,14.64万,2014年,6.0万公里,2013款,1.6L
奥迪TT 2011款 TT Coupe 2.0TFSI(进口),16.98万,56.34万,2012年,9.9万公里,2011款,2.0T
MG3 2011款 1.5L AMT精英版,1.80万,9.74万,2011年,8.6万公里,2011款,1.5L
本田 缤智 2016款 1.8L CVT两驱先锋型,10.28万,16.69万,2016年,5.3万公里,2016款,1.8L
哈弗H6 Coupe 2015款 蓝标 2.0T 自动两驱精英型,7.20万,17.56万,2015年,7.4万公里,2015款,2.0T
奔驰A级 2017款 A 180(进口),13.85万,25.62万,2016年,5.1万公里,2017款,1.6T
标致301 2014款 1.6L 自动舒适版,4.48万,10.28万,2015年,8.0万公里,2014款,1.6L
马自达6 2008款 2.0L 自动时尚型,4.00万,19.52万,2009年,10.9万公里,2008款,2.0L
大众 高尔夫 2015款 1.4TSI 手动R-Line,8.50万,17.14万,2015年,4.3万公里,2015款,1.4T
奥迪Q3 2013款 35 TFSI quattro 舒适型,13.30万,38.73万,2013年,9.9万公里,2013款,2.0T
雪佛兰 2016款 赛欧3 1.3L 手动舒适天窗版,3.99万,6.94万,2017年,5.3万公里,2016款,1.3L
奔驰C级 2008款 C 200K 标准型,7.85万,37.77万,2009年,17.1万公里,2008款,1.8T
别克 昂科威 2016款 20T 两驱精英型,11.50万,25.61万,2016年,8.9万公里,2016款,1.5T
福特 福克斯 2009款 三厢 1.8L 自动时尚型,3.48万,14.64万,2010年,6.7万公里,2009款,1.8L
福特 探险者 2016款 2.3T 风尚版(进口),24.10万,48.82万,2017年,6.9万公里,2016款,2.3T
大众POLO 2016款 1.4L 自动风尚型,6.43万,9.54万,2018年,1.3万公里,2016款,1.4L
起亚K5 2014款 2.0L 自动LUXURY,9.30万,20.49万,2015年,10.7万公里,2014款,2.0L
福特 翼搏 2013款 1.5L 自动尊贵型,5.80万,13.87万,2015年,7.1万公里,2013款,1.5L
大众 帕萨特 2016款 280TSI DSG尊荣版,12.50万,23.00万,2016年,4.9万公里,2016款,1.4T
英菲尼迪Q50L 2015款 2.0T 运动版,17.58万,37.97万,2015年,9.1万公里,2015款,2.0T
福特 蒙迪欧-致胜 2011款 2.0L GTDi200时尚型,4.80万,21.69万,2012年,11.2万公里,2011款,2.0T
宝马5系 2014款 525Li 领先型,25.10万,50.65万,2015年,12.8万公里,2014款,2.0T
林肯MKC 2014款 2.0T 四驱尊雅版,16.50万,43.18万,2015年,3.1万公里,2014款,2.0T
大众 捷达 2013款 1.6L 自动时尚型,4.60万,10.67万,2014年,8.0万公里,2013款,1.6L
日产 轩逸 2014款 1.6XV CVT尊享版,7.99万,14.96万,2015年,5.6万公里,2014款,1.6L
雪铁龙C5 2013款 2.0L 自动尊享型,6.70万,20.61万,2013年,7.9万公里,2013款,2.0L
奔驰B级 2012款 B 200(进口),10.10万,34.52万,2013年,13.1万公里,2012款,1.6T
Jeep 自由光 2016款 2.0L 优越版,11.76万,23.86万,2016年,4.3万公里,2016款,2.0L
宝马1系 2008款 120i 自动挡(进口),7.80万,31.26万,2011年,6.4万公里,2008款,2.0L
丰田 RAV4 2010款 2.0L 自动豪华升级版,7.90万,24.73万,2011年,16.0万公里,2010款,2.0L
大众 途观 2009款 2.0TSI 舒适版(进口),7.30万,36.91万,2010年,17.7万公里,2009款,2.0T
陆风X7 2015款 2.0T 全景尊贵版,5.98万,15.17万,2016年,5.7万公里,2015款,2.0T
DS 5 2015款 1.6T 雅致版THP160,9.28万,23.87万,2016年,4.9万公里,2015款,1.6T
MG3 2014款 1.5L AMT精英版,4.58万,9.09万,2015年,5.6万公里,2014款,1.5L
福特 福睿斯 2017款 改款 1.5L 自动舒适型,6.20万,11.70万,2018年,4.8万公里,2017款,1.5L
宝马2系旅行车 2016款 218i 时尚型,13.48万,25.49万,2016年,7.6万公里,2016款,1.5T
东南DX3 2016款 1.5T CVT尊贵型,5.80万,10.30万,2017年,7.0万公里,2016款,1.5T
丰田 卡罗拉 2017款 1.6L CVT GL,8.50万,12.79万,2016年,2.1万公里,2017款,1.6L
别克 昂科威 2017款 20T 两驱领先型,12.68万,23.87万,2017年,4.7万公里,2017款,1.5T
马自达 阿特兹 2014款 2.5L 蓝天尊崇版,11.00万,23.42万,2014年,7.4万公里,2014款,2.5L
比亚迪 秦 2015款 1.5T 双冠旗舰Plus版,6.80万,23.86万,2016年,4.1万公里,2015款,1.5T
别克GL8 2014款 2.4L CT豪华商务舒适版,16.48万,31.47万,2016年,11.5万公里,2014款,2.4L
奔驰A级 2019款 A 200 L 运动轿车,21.80万,28.74万,2019年,2.1万公里,2019款,1.3T
丰田 凯美瑞 2015款 骏瑞 2.0S 凌动版,12.98万,21.69万,2015年,6.0万公里,2015款,2.0L
别克 君越 2012款 2.4L SIDI豪雅版,7.88万,27.78万,2013年,13.4万公里,2012款,2.4L
大众 迈腾 2018款 330TSI DSG 豪华型,17.80万,25.50万,2018年,4.6万公里,2018款,1.8T
别克 君越 2009款 2.4L豪华版,5.00万,29.30万,2010年,16.6万公里,2009款,2.4L
宝马1系 2010款 120i运动限量版(进口),7.30万,32.46万,2011年,7.1万公里,2010款,2.0L
别克GL8 2013款 2.4L 经典版,8.28万,22.69万,2013年,10.7万公里,2013款,2.4L
别克 英朗 2016款 15N 手动精英型,4.88万,12.69万,2016年,6.0万公里,2016款,1.5L
马自达CX-5 2015款 2.0L 自动两驱都市型,12.80万,20.71万,2017年,4.3万公里,2015款,2.0L
马自达6 2013款 2.0L 自动时尚型,5.90万,16.04万,2013年,14.7万公里,2013款,2.0L
奥迪A4L 2013款 35 TFSI 自动标准型,13.28万,33.63万,2013年,6.4万公里,2013款,2.0T
大众 宝来 2016款 1.6L 自动舒适型,7.88万,14.31万,2016年,5.7万公里,2016款,1.6L
斯柯达 晶锐 2017款 1.4L 自动车享版,6.30万,9.22万,2018年,1.7万公里,2017款,1.4L
三菱 帕杰罗 2012款 3.8L 尊贵版(进口),33.88万,63.83万,2019年,3.3万公里,2012款,3.8L
别克 英朗 2013款 GT 1.6L 自动时尚版,4.18万,16.58万,2013年,9.4万公里,2013款,1.6L
本田 杰德 2017款 1.8L 自动舒适版 5座,11.28万,15.19万,2018年,2.9万公里,2017款,1.8L
丰田 威驰 2008款 1.3L GL-i 特别纪念版 AT,3.60万,10.79万,2009年,7.8万公里,2008款,1.3L
日产 天籁 2008款 2.0L XL舒适版,5.88万,21.69万,2010年,11.1万公里,2008款,2.0L
现代 名图 2016款 1.8L 自动智能型GLS,8.89万,16.26万,2016年,5.2万公里,2016款,1.8L
福特 翼虎 2013款 1.6L GTDi 两驱风尚型,8.46万,23.64万,2014年,8.0万公里,2013款,1.6T
MG 锐行 2016款 1.5L 自动风尚版,5.28万,9.32万,2016年,4.3万公里,2016款,1.5L
MINI 2014款 1.5T COOPER Fun,15.60万,27.68万,2015年,5.7万公里,2014款,1.5T
MG3 2013款 1.5L AMT精英版,4.00万,9.74万,2014年,2.7万公里,2013款,1.5L
传祺GS4 2015款 200T G-DCT精英版,6.50万,13.66万,2016年,6.0万公里,2015款,1.3T
奔驰GLE级 2016款 GLE 320 4MATIC 动感型(进口),51.00万,84.45万,2016年,10.0万公里,2016款,3.0T
大众 朗逸 2013款 1.4TSI 手动豪华版,4.95万,15.95万,2012年,8.9万公里,2013款,1.4T
现代 ENCINO 2018款 1.6T 双离合致跑版,10.38万,15.84万,2018年,1.6万公里,2018款,1.6T
东风风度 风度MX6 2016款 2.0L CVT两驱梦想版,8.50万,16.26万,2017年,5.2万公里,2016款,2.0L
众泰SR9 2017款 2.0T 自动极致之路版,5.88万,14.31万,2018年,3.5万公里,2017款,2.0T
丰田 卡罗拉 2017款 改款 1.2T S-CVT GL-i,10.28万,13.87万,2018年,4.6万公里,2017款,1.2T
Jeep 指南者 2017款 200T 自动家享版,10.50万,19.52万,2018年,4.6万公里,2017款,1.4T
大众 凌渡 2019款 230TSI DSG风尚版 国VI,13.20万,16.92万,2019年,1.1万公里,2019款,1.4T
现代 领动 2018款 1.4T 双离合炫动·活力型,8.30万,13.55万,2018年,1.9万公里,2018款,1.4T
MG 名爵ZS 2020款 260TGI 自动Trophy Pro L2+,7.98万,12.24万,2019年,2.0万公里,2020款,1.3T
雷克萨斯ES 2015款 200 精英版,26.98万,30.28万,2018年,5.3万公里,2015款,2.0L
宝马5系 2018款 525i M运动套装(进口),36.88万,46.66万,2018年,3.3万公里,2018款,2.0T
奔驰E级 2021款 E 300 L 时尚型,48.80万,50.78万,2020年,0.9万公里,2021款,2.0T
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,24.98万,37.22万,2018年,3.4万公里,2018款,2.0T
奥迪Q2L 2018款 35TFSI 时尚动感型 国V,17.80万,25.88万,2019年,1.6万公里,2018款,1.4T
宝马5系 2020款 530Li 尊享型 M运动套装,49.98万,55.02万,2020年,0.5万公里,2020款,2.0T
奥迪Q2L 2018款 35TFSI 上市专享版 国VI,17.80万,23.75万,2019年,1.1万公里,2018款,1.4T
奥迪Q5L 2018款 40 TFSI 荣享进取型 国V,29.98万,41.55万,2019年,2.2万公里,2018款,2.0T
宝骏730 2017款 1.5T 手动时尚型 7座 国V,6.08万,8.55万,2019年,5.5万公里,2017款,1.5T
丰田 RAV4 2018款 2.5L 自动四驱精英i版,17.68万,25.92万,2018年,2.1万公里,2018款,2.5L
三菱 奕歌 2019款 1.5T CVT两驱无畏版 国VI,11.77万,16.37万,2019年,1.6万公里,2019款,1.5T
MINI 2016款 1.5T COOPER,16.86万,25.38万,2018年,2.8万公里,2016款,1.5T
吉利 帝豪GS 2018款 领潮版 1.4T 自动尊尚智联型,7.56万,12.68万,2018年,4.0万公里,2018款,1.4T
奔驰C级 2018款 C 200 运动版 4MATIC,29.80万,41.99万,2018年,5.4万公里,2018款,2.0T
宝马X1 2014款 sDrive18i 时尚型,15.30万,30.94万,2015年,6.6万公里,2014款,2.0T
起亚K2 2015款 三厢 1.4L AT GLS,4.70万,9.32万,2015年,7.2万公里,2015款,1.4L
宝马X1 2018款 sDrive18Li 尊享型,19.50万,32.98万,2018年,7.5万公里,2018款,1.5T
宝马5系 2013款 525Li 领先型,24.50万,49.89万,2014年,10.3万公里,2013款,2.0T
马自达 昂克赛拉 2016款 三厢 1.5L 自动舒适型,8.00万,13.67万,2016年,7.7万公里,2016款,1.5L
现代 领动 2016款 1.6L 自动智炫·豪华型,8.58万,14.52万,2018年,5.1万公里,2016款,1.6L
现代 全新胜达 2013款 2.4L 自动两驱智能型,10.30万,27.12万,2015年,10.1万公里,2013款,2.4L
斯柯达 明锐 2010款 1.4TSI DSG逸俊版,4.20万,17.48万,2010年,14.2万公里,2010款,1.4T
奥迪Q5 2015款 40 TFSI 技术型,20.99万,46.85万,2015年,10.8万公里,2015款,2.0T
现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,8.67万,21.36万,2015年,5.7万公里,2013款,2.0L
大众 朗逸 2013款 1.6L 手动风尚版,4.38万,12.25万,2013年,13.3万公里,2013款,1.6L
起亚K5 2012款 2.0L 自动GLS,6.98万,19.41万,2013年,8.3万公里,2012款,2.0L
哈弗H2 2014款 1.5T 手动两驱精英版,4.80万,11.27万,2015年,2.8万公里,2014款,1.5T
别克 君威 2015款 2.0L 领先时尚型,8.88万,19.42万,2017年,10.4万公里,2015款,2.0L
日产 逍客 2012款 2.0XL 火 CVT 2WD,6.90万,17.89万,2013年,6.9万公里,2012款,2.0L
别克 凯越 2008款 1.6LE-AT,2.48万,12.80万,2009年,7.6万公里,2008款,1.6L
丰田 雷凌 2014款 1.6G CVT精英版,7.38万,13.55万,2015年,9.2万公里,2014款,1.6L
东风风行 景逸X5 2016款 1.6L 手动尊享型,4.28万,9.43万,2017年,4.6万公里,2016款,1.6L
丰田 凯美瑞 2016款 2.5G 十周年纪念豪华导航版,16.50万,23.86万,2017年,4.8万公里,2016款,2.5L
大众 高尔夫·嘉旅 2016款 230TSI 自动豪华型,10.38万,19.53万,2016年,4.5万公里,2016款,1.4T
福特 蒙迪欧 2013款 2.0L GTDi200时尚型,11.00万,22.01万,2016年,13.4万公里,2013款,2.0T
斯柯达 晶锐 2011款 1.4L 手动晶致版,2.18万,8.56万,2010年,10.3万公里,2011款,1.4L
中华V3 2016款 1.5L 自动智能型,4.90万,9.63万,2017年,3.6万公里,2016款,1.5L
捷豹XFL 2017款 XFL 2.0T 200PS 风华版,21.38万,42.12万,2017年,6.3万公里,2017款,2.0T
现代 名图 2017款 1.8L 自动智能型GLS 国V,9.88万,16.26万,2017年,5.0万公里,2017款,1.8L
哈弗H6 2016款 升级版 1.5T 手动两驱都市型,5.30万,10.29万,2017年,6.6万公里,2016款,1.5T
别克GL8 2014款 2.4L 经典版,8.90万,22.69万,2015年,14.3万公里,2014款,2.4L
凯迪拉克ATS-L 2017款 28T 技术型,17.20万,29.72万,2018年,2.4万公里,2017款,2.0T
大众 高尔夫 2020款 280TSI DSG舒适型,13.38万,16.63万,2020年,0.6万公里,2020款,1.4T
别克 君威 2015款 1.6T 领先技术型,9.90万,20.61万,2017年,6.1万公里,2015款,1.6T
丰田 威驰 2017款 1.5L CVT创行版,6.20万,9.53万,2017年,1.9万公里,2017款,1.5L
斯柯达Yeti 2014款 1.4TSI DSG野驱版,7.15万,23.86万,2014年,4.3万公里,2014款,1.4T
日产 轩逸 2016款 1.6XL  CVT尊享版,8.18万,14.96万,2017年,6.1万公里,2016款,1.6L
大众CC 2015款 1.8TSI 豪华型,15.50万,29.18万,2016年,9.8万公里,2015款,1.8T
福特 蒙迪欧 2013款 2.0L GTDi200豪华型,10.18万,24.18万,2015年,5.0万公里,2013款,2.0T
别克 威朗 2019款 三厢 15S 自动领先型,9.50万,16.81万,2019年,2.4万公里,2019款,1.5L
现代ix25 2015款 1.6L 自动两驱智能型GLS,8.80万,15.50万,2017年,4.7万公里,2015款,1.6L
日产 阳光 2015款 1.5XE 手动舒适版,4.68万,8.66万,2017年,6.4万公里,2015款,1.5L
福特 福睿斯 2017款 幸福版 1.5L 自动时尚型,6.90万,13.28万,2017年,4.2万公里,2017款,1.5L
别克 君威 2015款 2.0L 领先时尚型,8.08万,19.42万,2016年,8.0万公里,2015款,2.0L
福特 福克斯 2012款 三厢 1.6L 自动风尚型,4.88万,15.62万,2012年,9.4万公里,2012款,1.6L
起亚K2 2017款 三厢 1.4L MT GLS,4.70万,8.46万,2017年,2.1万公里,2017款,1.4L
大众POLO 2016款 1.4L 手动风尚型,4.75万,8.24万,2016年,8.1万公里,2016款,1.4L
捷豹XF 2016款 XF 2.0T 两驱R-Sport运动版,25.00万,61.65万,2016年,6.3万公里,2016款,2.0T
丰田 YARiS L 致享 2017款 1.5E CVT魅动版,7.15万,9.53万,2018年,5.8万公里,2017款,1.5L
本田XR-V 2015款 1.5L LXi CVT经典版,8.83万,14.96万,2016年,4.4万公里,2015款,1.5L
起亚K3 2013款 1.6L 手动GL,4.00万,11.16万,2014年,8.9万公里,2013款,1.6L
奔驰GLK级 2014款 GLK 200 标准型,22.68万,41.03万,2015年,5.2万公里,2014款,2.0T
本田 锋范经典 2011款 1.5L 自动精英品致版,4.38万,12.68万,2011年,10.4万公里,2011款,1.5L
宝骏310 2016款 1.2L 手动舒适型,3.10万,4.32万,2017年,4.7万公里,2016款,1.2L
雪佛兰 科鲁兹 2013款 掀背 1.6L 自动豪华型,5.50万,14.53万,2015年,6.2万公里,2013款,1.6L
众泰T600 2015款 2.0T 自动尊贵型,5.30万,13.66万,2016年,6.5万公里,2015款,2.0T
五菱宏光 2015款 1.5L S基本型 国V,3.28万,5.68万,2016年,4.2万公里,2015款,1.5L
日产 奇骏 2014款 2.0L CVT舒适版 2WD,12.80万,21.36万,2015年,6.8万公里,2014款,2.0L
丰田 威驰 2008款 1.6L GL-i 特别纪念版 AT,3.75万,11.71万,2010年,18.1万公里,2008款,1.6L
雪佛兰 科沃兹 2016款 1.5L 自动欣享版,5.28万,9.65万,2017年,3.9万公里,2016款,1.5L
别克 英朗 2014款 XT 1.6L 自动时尚版,5.36万,16.27万,2014年,6.3万公里,2014款,1.6L
荣威eRX5 2017款 eRX5 50T 混动互联尊荣旗舰版,10.99万,31.03万,2017年,8.0万公里,2017款,1.5T
宝马X5 宝马 X5  X5 2.0 自动 平行进口,46.80万,,2017年,7.1万公里,无,2.0L
丰田 卡罗拉 2016款 双擎 1.8L CVT精英版,8.98万,16.26万,2016年,6.3万公里,2016款,1.8L
奇瑞 瑞虎3X 2017款 1.5L 自动舒适版,4.48万,6.83万,2017年,1.8万公里,2017款,1.5L
丰田 凯美瑞 2016款 2.0G 十周年纪念领先版,14.38万,21.25万,2017年,5.0万公里,2016款,2.0L
现代 名图 2014款 1.8L 自动尊贵型DLX,7.30万,17.35万,2014年,9.8万公里,2014款,1.8L
福特 福克斯 2013款 两厢经典 1.8L 自动基本型,4.98万,11.92万,2016年,4.4万公里,2013款,1.8L
现代 悦纳 2016款 1.4L 自动炫酷版GLS,6.50万,9.53万,2019年,2.0万公里,2016款,1.4L
铃木 奥拓 2013款 1.0L 自动豪华型,3.18万,6.50万,2013年,8.9万公里,2013款,1.0L
东南DX7 2015款 1.5T 手动豪华型,5.88万,13.01万,2015年,8.9万公里,2015款,1.5T
福特 福睿斯 2017款 幸福版 1.5L 自动时尚型,6.80万,13.28万,2017年,3.9万公里,2017款,1.5L
丰田 威驰FS 2017款 1.5L CVT锋驰版,7.18万,9.31万,2018年,3.6万公里,2017款,1.5L
雷克萨斯NX 2015款 200t 全驱 锋尚版,26.78万,43.20万,2017年,4.3万公里,2015款,2.0T
北汽幻速S6 2017款 1.5T CVT乐享型,5.15万,11.59万,2017年,4.2万公里,2017款,1.5T
雪佛兰 乐风 2010款 1.4MT风度版,1.65万,8.89万,2011年,9.7万公里,2010款,1.4L
别克 君越 2016款 20T 豪华型,14.18万,28.20万,2017年,4.8万公里,2016款,1.5T
大众 朗逸 2018款 280TSI DSG舒适版 国V,10.50万,15.95万,2019年,3.0万公里,2018款,1.4T
大众 朗逸 2017款 1.6L 自动风尚版,8.63万,12.91万,2018年,1.6万公里,2017款,1.6L
马自达6 2012款 2.0L 自动时尚型,6.18万,19.52万,2013年,8.9万公里,2012款,2.0L
哈弗H1 2017款 红标 1.5L AMT豪华型,4.98万,7.37万,2017年,3.8万公里,2017款,1.5L
日产 骊威 2010款 劲锐版 1.6L 手动标准型,3.58万,10.83万,2012年,7.1万公里,2010款,1.6L
丰田 YARiS L 致炫 2017款 1.5E CVT劲速升级版,6.92万,9.69万,2018年,3.5万公里,2017款,1.5L
别克 君威 2015款 2.0L 精英时尚型,9.98万,21.05万,2017年,5.2万公里,2015款,2.0L
本田 奥德赛 2015款 改款 2.4L 智享版,20.90万,28.96万,2017年,5.9万公里,2015款,2.4L
传祺GA5新能源 2016款 PHEV 精英版,4.55万,21.63万,2017年,4.0万公里,2016款,1.0L
别克 威朗 2018款 三厢 15S 自动领先型,7.80万,16.81万,2018年,2.5万公里,2018款,1.5L
哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,6.88万,14.85万,2016年,6.7万公里,2015款,1.5T
雪佛兰 赛欧 2010款 三厢 1.2L 手动理想版,2.00万,6.71万,2011年,9.2万公里,2010款,1.2L
英菲尼迪Q50L 2018款 2.0T 豪华运动版 国V,24.80万,42.31万,2019年,2.6万公里,2018款,2.0T
大众 宝来 2011款 1.4T 自动舒适型,3.80万,15.50万,2010年,11.5万公里,2011款,1.4T
别克 英朗 2013款 XT 1.6L 自动时尚版,4.58万,16.27万,2013年,7.5万公里,2013款,1.6L
雷诺 科雷傲 2012款 2.5L 四驱舒适导航版(进口),6.28万,30.05万,2012年,14.9万公里,2012款,2.5L
本田 杰德 2017款 1.8L 自动经典版 5座,10.80万,14.10万,2017年,3.4万公里,2017款,1.8L
别克 英朗 2015款 18T 双离合运动旗舰型,6.80万,17.36万,2017年,4.2万公里,2015款,1.4T
本田 飞度 2020款 1.5L CVT舒适版,8.18万,8.88万,2020年,1.0万公里,2020款,1.5L
三菱 翼神 2016款 1.8L CVT黑白复刻版,7.80万,12.92万,2017年,4.8万公里,2016款,1.8L
大众 帕萨特 2016款 280TSI DSG尊荣版,12.91万,23.00万,2017年,4.5万公里,2016款,1.4T
大众 高尔夫·嘉旅 2016款 230TSI 自动进取型,10.38万,18.12万,2017年,4.1万公里,2016款,1.4T
大众 速腾 2015款 1.6L 自动舒适型,8.20万,16.37万,2015年,3.2万公里,2015款,1.6L
现代 悦动 2010款 1.6L AT GLS,3.98万,13.00万,2011年,13.2万公里,2010款,1.6L
大众 朗逸 2013款 改款 1.4TSI DSG舒适版,5.90万,16.05万,2013年,5.8万公里,2013款,1.4T
奥迪A4L 2013款 35 TFSI 自动标准型,15.58万,33.63万,2014年,8.4万公里,2013款,2.0T
大众 朗逸 2015款 230TSI DSG舒适版,8.23万,15.95万,2015年,6.5万公里,2015款,1.4T
本田 艾力绅 2012款 2.4L VTi-S尊贵版,16.50万,34.71万,2014年,7.5万公里,2012款,2.4L
哈弗H9 2017款 2.0T 汽油四驱尊贵型 7座,22.60万,29.61万,2020年,100公里,2017款,2.0T
别克 凯越 2013款 1.5L 手动尊享型,3.98万,11.50万,2014年,4.6万公里,2013款,1.5L
现代 途胜 2015款 1.6T 双离合两驱智能型,11.60万,19.53万,2017年,4.7万公里,2015款,1.6T
起亚 焕驰 2017款 1.4L 手动时尚版Smart,4.58万,5.42万,2019年,2.1万公里,2017款,1.4L
别克 昂科威 2016款 20T 两驱精英型,11.80万,25.61万,2016年,8.3万公里,2016款,1.5T
宝马X3 2014款 xDrive28i X设计套装(进口),24.28万,64.37万,2015年,10.4万公里,2014款,2.0T
本田 思域 2013款 十周年纪念 1.8L 自动舒适版,6.80万,15.17万,2013年,7.8万公里,2013款,1.8L
雪佛兰 科鲁兹 2018款 320 自动先锋天窗版,6.91万,13.56万,2018年,6.7万公里,2018款,1.5L
新宝骏RS-5 2019款 1.5T CVT智能驾控豪华版 国V,8.80万,12.35万,2019年,3.4万公里,2019款,1.5T
丰田 卡罗拉 2017款 改款双擎 1.8L E-CVT精英版,10.38万,15.93万,2017年,5.3万公里,2017款,1.8L
大众 宝来 2011款 1.6L 自动时尚型,3.80万,13.00万,2011年,10.4万公里,2011款,1.6L
丰田 威驰 2014款 1.5L 自动智臻版,5.30万,9.53万,2016年,7.2万公里,2014款,1.5L
丰田 雷凌 2017款 改款 185T CVT精英版 国V,9.58万,13.55万,2018年,6.1万公里,2017款,1.2T
大众 速腾 2018款 1.6L 自动舒适型,10.58万,16.04万,2019年,2.0万公里,2018款,1.6L
宝马5系 2014款 520Li 典雅型,24.38万,47.28万,2016年,16.6万公里,2014款,2.0T
哈弗H6 2015款 升级版 1.5T 手动两驱精英型,4.90万,11.92万,2015年,8.4万公里,2015款,1.5T
大众 凌渡 2015款 230TSI DSG风尚版,9.18万,17.36万,2015年,4.5万公里,2015款,1.4T
路虎 揽胜极光 2018款 240PS HSE DYNAMIC 致动版,24.80万,58.59万,2018年,3.6万公里,2018款,2.0T
雪佛兰 科鲁兹 2013款 1.8L SE AT,4.80万,14.86万,2014年,8.8万公里,2013款,1.8L
福特 福克斯 2012款 三厢 1.6L 自动风尚型,4.98万,15.62万,2013年,9.3万公里,2012款,1.6L
奔驰C级 2015款 改款 C 180 L 运动型,19.85万,35.36万,2016年,6.6万公里,2015款,1.6T
长安CS75 2016款 1.8T 自动精英型 国V,6.50万,12.68万,2016年,11.6万公里,2016款,1.8T
别克 昂科拉 2015款 1.4T 自动两驱都市精英型,6.38万,16.27万,2015年,8.5万公里,2015款,1.4T
吉利 博瑞GE新能源 2018款 1.5T PHEV 耀领版,11.96万,22.77万,2019年,2.6万公里,2018款,1.5T
本田 雅阁 2016款 混动 2.0L 锐酷版,17.80万,26.03万,2018年,5.7万公里,2016款,2.0L
起亚K5 2016款 1.6T 自动LUX,10.18万,19.63万,2016年,4.7万公里,2016款,1.6T
本田 锋范 2015款 1.5L CVT舒适版,6.30万,9.75万,2016年,7.4万公里,2015款,1.5L
大众POLO 2014款 1.4L 手动风尚版,4.20万,8.24万,2015年,3.8万公里,2014款,1.4L
奔驰GLA级 2016款 GLA 200 动感型,17.20万,29.29万,2016年,2.4万公里,2016款,1.6T
奔驰C级 2015款 C 200 旅行轿车(进口),23.00万,45.48万,2016年,14.8万公里,2015款,2.0T
大众POLO 2016款 1.4L 手动风尚型,5.46万,8.24万,2016年,2.2万公里,2016款,1.4L
哈弗M6 2019款 1.5T DCT两驱精英型 国VI,7.88万,8.90万,2020年,0.2万公里,2019款,1.5T
奥迪A4L 2013款 30 TFSI 自动舒适型,12.50万,31.59万,2012年,10.9万公里,2013款,1.8T
本田 雅阁 2014款 2.4L LX 舒适版,12.53万,23.86万,2014年,10.4万公里,2014款,2.4L
Smart smart fortwo 2012款 1.0 MHD 硬顶标准版,5.90万,12.48万,2013年,4.7万公里,2012款,1.0L
哈弗H5 2018款 经典版 2.0T 手动四驱进取型,7.60万,11.70万,2017年,6.2万公里,2018款,2.0T
奔驰C级 2015款 改款 C 200 L 运动型,22.30万,38.40万,2016年,7.5万公里,2015款,2.0T
本田 缤智 2017款 1.5L CVT两驱舒适型,11.20万,14.85万,2019年,1.9万公里,2017款,1.5L
本田 飞度 2016款 1.5L LX CVT舒适型,7.20万,8.88万,2017年,4.6万公里,2016款,1.5L
大众 速腾 2018款 1.6L 自动舒适型,10.70万,16.04万,2019年,3.6万公里,2018款,1.6L
现代 领动 2018款 1.6L 自动15周年特别版,8.15万,13.00万,2018年,4.8万公里,2018款,1.6L
别克 凯越 2011款 1.6LX-MT,2.95万,10.84万,2011年,13.0万公里,2011款,1.6L
雪佛兰 科鲁兹 2016款 1.4T DCG豪华版,6.88万,16.27万,2016年,4.5万公里,2016款,1.4T
大众 帕萨特 2014款 2.0TSI DSG御尊版,13.20万,27.66万,2015年,12.8万公里,2014款,2.0T
起亚 智跑 2012款 2.0L 自动两驱版GLS,7.18万,20.93万,2013年,8.5万公里,2012款,2.0L
本田UR-V 2017款 370TURBO 四驱尊享版 国V,25.80万,31.78万,2019年,4.3万公里,2017款,2.0T
大众 捷达 2015款 质惠版 1.6L 自动时尚型,6.08万,10.38万,2017年,5.6万公里,2015款,1.6L
别克 君越 2016款 20T 精英型,13.80万,26.03万,2017年,8.3万公里,2016款,1.5T
日产 轩逸 2019款 经典 1.6XE+ CVT智联领先版,8.56万,12.62万,2019年,2.0万公里,2019款,1.6L
大众 朗行 2015款 1.6L 自动风尚版,6.86万,13.56万,2017年,8.1万公里,2015款,1.6L
